trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Prot_Res_With_IBM_For_GWAS,0.131456,-0.024154,-0.182628,-0.000403,-0.086281, 0.130546,-0.031465,CHG_landrace_maize,S41,Protein,-0.16201
Prot_Res_With_IBM_For_GWAS,-0.032605,-0.008286,0.005553,0.006309,-0.0394, 0.091465, 0.023036,CHG_landrace_maize,S70,Protein,-0.068429
Prot_Res_With_IBM_For_GWAS,-0.043545,-0.018279,-0.000165,-0.127422,-0.018624, 0.401961, 0.193926,CHG_landrace_maize,S57,Protein,-0.208035
Prot_Res_With_IBM_For_GWAS,-0.045805,-0.007923,-0.014289,-0.032182,-0.078181, 0.401672, 0.223291,CHG_landrace_maize,S68,Protein,-0.17838
Prot_Res_With_IBM_For_GWAS,0.003361,0.025367,-0.001191,0.006821,0.007022, 0.136764, 0.178145,CHG_landrace_maize,S3,Protein,0.04138
Prot_Res_With_IBM_For_GWAS,-0.284847,-0.008379,-0.030366,-0.039184,-0.008868, 0.374605, 0.002961,CHG_landrace_maize,S16,Protein,-0.371644
Prot_Res_With_IBM_For_GWAS,-0.040916,-0.153008,-0.021446,-0.004466,-0.075618, 0.179499,-0.115955,CHG_landrace_maize,S7,Protein,-0.295454
Prot_Res_With_IBM_For_GWAS,0.003309,-0.007688,-0.02854,-0.00791,-0.065864, 0.187730, 0.081038,CHG_landrace_maize,S74,Protein,-0.106693
Prot_Res_With_IBM_For_GWAS,-0.019411,-0.016708,-0.013136,-0.009876,-0.038765, 0.153178, 0.055282,CHG_landrace_maize,S42,Protein,-0.097896
Prot_Res_With_IBM_For_GWAS,-0.044717,0.015139,-0.016417,-0.019559,-0.058033, 0.151837, 0.028250,CHG_landrace_maize,S71,Protein,-0.123587
Prot_Res_With_IBM_For_GWAS,-0.020265,-0.107508,0.053311,-0.021384,-0.213996, 0.274324,-0.035517,CHG_landrace_maize,S76,Protein,-0.309842
Prot_Res_With_IBM_For_GWAS,0.002617,-0.007266,0.008223,-0.020285,0.018127,-0.029210,-0.027794,CHG_landrace_maize,S80,Protein,0.001416
Prot_Res_With_IBM_For_GWAS,-0.011735,-0.031117,-0.00889,-0.046552,-0.006144, 0.327184, 0.222745,CHG_landrace_maize,S91,Protein,-0.104438
Prot_Res_With_IBM_For_GWAS,-0.031546,0.008289,-0.030873,-0.069085,-0.037467, 0.147720,-0.012962,CHG_landrace_maize,S78,Protein,-0.160682
Prot_Res_With_IBM_For_GWAS,-0.067221,-0.009069,-0.019082,-0.027109,0.000429, 0.129790, 0.007737,CHG_landrace_maize,S82,Protein,-0.122052
Prot_Res_With_IBM_For_GWAS,-0.009587,-0.053218,-0.022139,-0.019201,-0.098129, 0.359051, 0.156778,CHG_landrace_maize,S75,Protein,-0.202274
Prot_Res_With_IBM_For_GWAS,-0.022798,-0.0228,-0.020199,-0.032429,-0.041794, 0.035439,-0.104582,CHG_landrace_maize,S43,Protein,-0.14002
Prot_Res_With_IBM_For_GWAS,-0.009519,-0.001274,-0.007013,-0.014707,-0.029673, 0.250541, 0.188355,CHG_landrace_maize,S72,Protein,-0.062186
Prot_Res_With_IBM_For_GWAS,0.003464,-0.002461,-0.00899,-0.000742,-0.075755, 0.181630, 0.097147,CHG_landrace_maize,S77,Protein,-0.084484
Prot_Res_With_IBM_For_GWAS,-0.00733,-0.026575,0.004901,-0.024162,-0.00067, 0.247252, 0.193415,CHG_landrace_maize,S81,Protein,-0.053836
Prot_Res_With_IBM_For_GWAS,0.001664,0.012089,0.005531,0.000545,-0.000264, 0.167590, 0.187154,CHG_landrace_maize,S92,Protein,0.019565
Prot_Res_With_IBM_For_GWAS,0.063969,-0.016111,-0.007175,-0.093979,-0.040175,-0.057519,-0.150989,CHG_landrace_maize,S79,Protein,-0.093471
Prot_Res_With_IBM_For_GWAS,-0.020324,-0.001712,0.015017,-0.005173,-0.044807,-0.026818,-0.083817,CHG_landrace_maize,S83,Protein,-0.056999
Prot_Res_With_IBM_For_GWAS,0.035154,-0.000817,-0.023653,0.019074,-0.005905,-0.026148,-0.002296,CHG_landrace_maize,S94,Protein,0.023853
Prot_Res_With_IBM_For_GWAS,0.00012,-0.003356,0.004163,-0.002249,-0.641598, 0.314852,-0.328067,CHG_landrace_maize,S99,Protein,-0.64292
Prot_Res_With_IBM_For_GWAS,0.011318,-0.002198,-0.00443,-0.01352,-0.098065, 0.089397,-0.017498,CHG_landrace_maize,S85,Protein,-0.106895
Prot_Res_With_IBM_For_GWAS,-0.000571,-0.002565,0.00063,-0.0067,0.000434, 0.201813, 0.193040,CHG_landrace_maize,S96,Protein,-0.008772
Prot_Res_With_IBM_For_GWAS,0.047811,0.010679,-0.023897,-0.02468,-0.003212,-0.018910,-0.012208,CHG_landrace_maize,S95,Protein,0.006701
Prot_Res_With_IBM_For_GWAS,-0.012975,-0.011639,-0.034258,-0.008714,-0.119917, 0.149569,-0.037934,CHG_landrace_maize,S93,Protein,-0.187503
Prot_Res_With_IBM_For_GWAS,-0.049797,-0.101335,-0.026398,-0.072129,-0.139242, 0.324696,-0.064204,CHG_landrace_maize,S8,Protein,-0.388901
Prot_Res_With_IBM_For_GWAS,-0.004854,0.018682,-0.000729,0.028341,0.009256, 0.148964, 0.199660,CHG_landrace_maize,S84,Protein,0.050696
