mn,sd,med,type,par,ne,class,teo,context,ft
4.62981171373014,0.017045738410737,4.62590144651126,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_1e+05_ft.RData,1e+05,dsfs,hypo,CG,Gene_up_5k
1.60847213332969,0.0537811737301139,1.61645053701014,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_1e+06_ft.RData,1e+06,dsfs,hypo,CG,Gene_up_5k
6.8085609362107,0.00186948069392122,6.80859276408416,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_1e+06_ft.RData,1e+06,dsfs,hypo,CG,Gene_up_5k
5.62263267691822,0.00690874604597942,5.62141977623918,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_1e+06_ft.RData,1e+06,dsfs,hypo,CG,Gene_up_5k
1.04726593053786,0.691911223684279,1.51150584068199,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_50000_ft.RData,50000,dsfs,hypo,CG,Gene_up_5k
5.49222043802398,0.0195187964774815,5.50458098055114,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_50000_ft.RData,50000,dsfs,hypo,CG,Gene_up_5k
4.41122708499875,0.114515886194069,4.33457927589127,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_50000_ft.RData,50000,dsfs,hypo,CG,Gene_up_5k
1.62094914338129,0.0443818812239716,1.62788709782068,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_5e+05_ft.RData,5e+05,dsfs,hypo,CG,Gene_up_5k
6.50783644745586,0.00181377416379678,6.50794806666155,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_5e+05_ft.RData,5e+05,dsfs,hypo,CG,Gene_up_5k
5.31999555592507,0.00570827321739907,5.31936913487132,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_5e+05_ft.RData,5e+05,dsfs,hypo,CG,Gene_up_5k
7.54241798172564,0.00944700286126117,7.54205504001491,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_1e+05_ft.RData,1e+05,dsfs,hyper,CG,Intergenic
8.27622965649616,0.248200758672834,8.23903803348362,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_1e+05_ft.RData,1e+05,dsfs,hyper,CG,Intergenic
5.35812615923035,0.000513217394979859,5.35812434658501,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_1e+05_ft.RData,1e+05,dsfs,hyper,CG,Intergenic
7.54273903746999,0.00995454954210685,7.54275933201141,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_1e+06_ft.RData,1e+06,dsfs,hyper,CG,Intergenic
9.27971955140277,0.242276550673942,9.24165595197484,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_1e+06_ft.RData,1e+06,dsfs,hyper,CG,Intergenic
6.35812347563237,0.000533425284519406,6.35812287755463,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_1e+06_ft.RData,1e+06,dsfs,hyper,CG,Intergenic
7.53954062497486,0.010293806315459,7.53996443160628,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_50000_ft.RData,50000,dsfs,hyper,CG,Intergenic
7.97209680946104,0.250233926375636,7.92756042274679,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_50000_ft.RData,50000,dsfs,hyper,CG,Intergenic
5.05725437944387,0.000557194398170445,5.05726763917873,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_50000_ft.RData,50000,dsfs,hyper,CG,Intergenic
7.54280674832339,0.0101552210659996,7.54341532302407,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_5e+05_ft.RData,5e+05,dsfs,hyper,CG,Intergenic
8.97922180413637,0.244179119544746,8.94011952277609,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_5e+05_ft.RData,5e+05,dsfs,hyper,CG,Intergenic
6.05708614175453,0.000557756352762628,6.05704246819325,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hyper_5e+05_ft.RData,5e+05,dsfs,hyper,CG,Intergenic
1.82270301038038,0.375564908387735,1.91336054318339,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_1e+05_ft.RData,1e+05,dsfs,hypo,CG,Intergenic
5.6395863734773,0.0162995192851174,5.64344410402703,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_1e+05_ft.RData,1e+05,dsfs,hypo,CG,Intergenic
4.65198000524608,0.054844593605571,4.63888337587638,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_1e+05_ft.RData,1e+05,dsfs,hypo,CG,Intergenic
1.97806151809018,0.0527080166075226,1.98180644624536,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_1e+06_ft.RData,1e+06,dsfs,hypo,CG,Intergenic
6.64577795475711,0.003297371619279,6.64574506602352,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_1e+06_ft.RData,1e+06,dsfs,hypo,CG,Intergenic
5.63125957568831,0.00605716175206158,5.63070963894643,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_1e+06_ft.RData,1e+06,dsfs,hypo,CG,Intergenic
1.28293637526311,0.849703446247634,1.84091180851709,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_50000_ft.RData,50000,dsfs,hypo,CG,Intergenic
5.31495287701815,0.037453368195688,5.33845568428972,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_50000_ft.RData,50000,dsfs,hypo,CG,Intergenic
4.43134860645859,0.128528622814278,4.34682112498728,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_50000_ft.RData,50000,dsfs,hypo,CG,Intergenic
1.96668258769335,0.0646591710648875,1.97297591592903,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_5e+05_ft.RData,5e+05,dsfs,hypo,CG,Intergenic
6.34446563144593,0.00373820977523818,6.3445288380599,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_5e+05_ft.RData,5e+05,dsfs,hypo,CG,Intergenic
5.33168818186814,0.00742988131580379,5.33096424160631,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intergenic_teo-hypo_5e+05_ft.RData,5e+05,dsfs,hypo,CG,Intergenic
3.59349989044479,0.0157013176269293,3.59395123481481,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intron_teo-hyper_1e+05_ft.RData,1e+05,dsfs,hyper,CG,Intron
6.31703994368785,0.0737286536310656,6.31862359944473,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Intron_teo-hyper_1e+05_ft.RData,1e+05,dsfs,hyper,CG,Intron
