trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Fruc_Res_With_IBM_For_GWAS,-0.027389,-0.005021,-0.055001,-0.014098,-0.009281, 0.133514, 0.022724,CG_landrace_maize,S18,Fructose,-0.11079
Fruc_Res_With_IBM_For_GWAS,0,0.004094,0.007857,0.002268,0.001657,0.165638,0.181514,CG_landrace_maize,S19,Fructose,0.015876
Fruc_Res_With_IBM_For_GWAS,-0.012055,-0.004388,-0.041203,-0.019666,-0.068798, 0.445111, 0.299001,CG_landrace_maize,S16,Fructose,-0.14611
Fruc_Res_With_IBM_For_GWAS,-0.006951,-0.007034,-0.003776,0.011282,0.004184, 0.162556, 0.160261,CG_landrace_maize,S9,Fructose,-0.002295
Fruc_Res_With_IBM_For_GWAS,0.010104,0.019311,0.030343,0.12939,5.127639,-1.024429, 4.292358,CG_landrace_maize,S6,Fructose,5.316787
Fruc_Res_With_IBM_For_GWAS,0.060778,0.006447,0.00108,-0.006924,4.093285,-0.647843, 3.506821,CG_landrace_maize,S25,Fructose,4.154666
Fruc_Res_With_IBM_For_GWAS,-0.006099,0.008011,0.00015,-0.006931,-0.053447, 0.179122, 0.120807,CG_landrace_maize,S2,Fructose,-0.058316
Fruc_Res_With_IBM_For_GWAS,0.013129,0.003631,0.004148,0.012952,3.694744,-0.495636, 3.232969,CG_landrace_maize,S22,Fructose,3.728604
Fruc_Res_With_IBM_For_GWAS,-0.032462,-0.012143,-0.007448,0.001166,0.003123, 0.211958, 0.164194,CG_landrace_maize,S17,Fructose,-0.047764
Fruc_Res_With_IBM_For_GWAS,-0.030223,-0.030511,-0.01969,-0.022154,1.401733,-0.055217, 1.243937,CG_landrace_maize,S13,Fructose,1.299155
Fruc_Res_With_IBM_For_GWAS,0.012977,-0.003821,-0.003967,0.000331,0.00286, 0.164864, 0.173244,CG_landrace_maize,S12,Fructose,0.00838
Fruc_Res_With_IBM_For_GWAS,-0.002379,-0.000504,-0.022901,0.009252,-0.080049, 0.145389, 0.048807,CG_landrace_maize,S100,Fructose,-0.096581
Fruc_Res_With_IBM_For_GWAS,-0.030432,-0.014828,0.029037,-0.082874,6.613455,-0.924197, 5.590161,CG_landrace_maize,S14,Fructose,6.514358
Fuma2_Res_With_IBM_For_GWAS,-0.050571,-0.026813,-0.004075,-0.013602,0.000658, 0.413993, 0.319590,CG_landrace_maize,S51,NA,-0.094403
Fuma2_Res_With_IBM_For_GWAS,-0.007923,-0.011457,0.004796,0.007405,-0.003291, 0.001128,-0.009341,CG_landrace_maize,S76,NA,-0.01047
Fuma2_Res_With_IBM_For_GWAS,-0.003981,-0.028324,-0.048982,-0.002947,2.101611,-0.075685, 1.941693,CG_landrace_maize,S92,NA,2.017377
Fuma2_Res_With_IBM_For_GWAS,0.037248,-0.020986,-0.037941,0.032608,-0.038254, 0.011928,-0.015396,CG_landrace_maize,S1,NA,-0.027325
Fuma2_Res_With_IBM_For_GWAS,-0.001837,0.003464,-0.010912,0.005689,-0.001143, 0.003516,-0.001223,CG_landrace_maize,S33,NA,-0.004739
Fuma2_Res_With_IBM_For_GWAS,-0.037331,-0.010942,-0.031507,-0.014117,-0.012763, 0.059734,-0.046926,CG_landrace_maize,S82,NA,-0.10666
Fuma2_Res_With_IBM_For_GWAS,-0.005468,0.001437,-0.012334,-0.01426,-0.086563,-0.024817,-0.142005,CG_landrace_maize,S90,NA,-0.117188
Fuma2_Res_With_IBM_For_GWAS,-0.0604,-0.055262,0.023677,-0.262067,-0.028958, 0.163628,-0.219382,CG_landrace_maize,S99,NA,-0.38301
Fuma2_Res_With_IBM_For_GWAS,-0.04486,-0.012424,-0.00663,-0.010451,0.004907, 0.060151,-0.009308,CG_landrace_maize,S15,NA,-0.069458
Fuma2_Res_With_IBM_For_GWAS,-0.015322,-0.00241,-0.094559,-0.025732,-0.109381, 0.390933, 0.143528,CG_landrace_maize,S64,NA,-0.247404
Fuma2_Res_With_IBM_For_GWAS,-0.012202,0.005943,-0.006119,0.030267,0.011284,-0.034312,-0.005140,CG_landrace_maize,S89,NA,0.029173
Fuma2_Res_With_IBM_For_GWAS,0.020346,0.013244,-0.003923,0.00613,-0.837899,-0.067489,-0.869592,CG_landrace_maize,S97,NA,-0.802102
Fuma2_Res_With_IBM_For_GWAS,-0.027569,0.017534,-0.1093,-0.011542,9.342862,-0.752832, 8.459153,CG_landrace_maize,S94,NA,9.211985
Fuma2_Res_With_IBM_For_GWAS,0.00569,-0.002154,-0.000823,0.007153,-0.016184,-0.009163,-0.015480,CG_landrace_maize,S46,NA,-0.006318
