trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Nitr_Res_With_IBM_For_GWAS,0.012254,0.028282,0.005865,-0.004423,-0.000793, 0.054231, 0.095415,CG_teosinte_maize,S78,Nitrate,0.041185
Nitr_Res_With_IBM_For_GWAS,0.00101,-0.007162,-0.01787,-0.013532,-0.00285, 0.136345, 0.095941,CG_teosinte_maize,S21,Nitrate,-0.040404
Nitr_Res_With_IBM_For_GWAS,0.035622,0.000374,0.01372,-0.006058,0.003029, 0.048876, 0.095562,CG_teosinte_maize,S75,Nitrate,0.046687
Nitr_Res_With_IBM_For_GWAS,0.029423,0.001011,0.012587,0.009066,-0.001426, 0.047797, 0.098459,CG_teosinte_maize,S37,Nitrate,0.050661
Nitr_Res_With_IBM_For_GWAS,0.015882,0.006973,0.004279,-0.006358,-0.002912, 0.074224, 0.092089,CG_teosinte_maize,S48,Nitrate,0.017864
Nitr_Res_With_IBM_For_GWAS,0.023678,-0.002964,0.008097,-0.012768,-0.023206, 0.119225, 0.112063,CG_teosinte_maize,S10,Nitrate,-0.007163
Nitr_Res_With_IBM_For_GWAS,0.029573,0.007451,0.008782,0.010567,0.001396,0.038270,0.096040,CG_teosinte_maize,S63,Nitrate,0.057769
Nitr_Res_With_IBM_For_GWAS,-0.019948,-0.078079,0.183266,-0.016463,-0.024885, 0.063606, 0.107497,CG_teosinte_maize,S74,Nitrate,0.043891
Nitr_Res_With_IBM_For_GWAS,-0.061232,-0.078953,0.193703,-0.077622,-0.010584,-0.037478,-0.072166,CG_teosinte_maize,S79,Nitrate,-0.034688
Nitr_Res_With_IBM_For_GWAS,0.032865,0.026785,0.0045,-0.020086,-0.000101, 0.052046, 0.096010,CG_teosinte_maize,S22,Nitrate,0.043963
Nitr_Res_With_IBM_For_GWAS,0.014869,0.026607,-0.002056,0.020425,-0.000827, 0.037128, 0.096146,CG_teosinte_maize,S1,Nitrate,0.059018
Nitr_Res_With_IBM_For_GWAS,0.008931,-0.00191,-0.005039,-0.006028,-0.012001, 0.115203, 0.099157,CG_teosinte_maize,S38,Nitrate,-0.016047
Nitr_Res_With_IBM_For_GWAS,-0.077746,-0.009394,-0.040669,0.007243,-0.015763, 0.161452, 0.025123,CG_teosinte_maize,S49,Nitrate,-0.136329
Nitr_Res_With_IBM_For_GWAS,0.035434,-0.001401,0.021099,-0.001221,-0.004129, 0.052579, 0.102361,CG_teosinte_maize,S100,Nitrate,0.049782
Nitr_Res_With_IBM_For_GWAS,0.048618,-0.012038,0.008388,0.000321,0.005832, 0.037740, 0.088862,CG_teosinte_maize,S64,Nitrate,0.051121
Nitr_Res_With_IBM_For_GWAS,-0.031169,0.114005,-0.030012,-0.064532,-0.038269, 0.134569, 0.084591,CG_teosinte_maize,S50,Nitrate,-0.049977
Nitr_Res_With_IBM_For_GWAS,0.022434,0.018309,0.003264,-0.003933,-0.005421, 0.060788, 0.095441,CG_teosinte_maize,S8,Nitrate,0.034653
Nitr_Res_With_IBM_For_GWAS,0.030892,0.00737,-0.003424,-0.021969,-0.003615, 0.081668, 0.090922,CG_teosinte_maize,S23,Nitrate,0.00925399999999999
Nitr_Res_With_IBM_For_GWAS,0.01348,0.023312,0.013298,0.000491,0.002434,0.045916,0.098931,CG_teosinte_maize,S52,Nitrate,0.053015
Nitr_Res_With_IBM_For_GWAS,0.02324,0.003621,0.017483,0.019228,0.003626,0.009301,0.076499,CG_teosinte_maize,S39,Nitrate,0.067198
Nitr_Res_With_IBM_For_GWAS,0.017727,0.004055,0.031099,-0.022577,0.002766, 0.070938, 0.104009,CG_teosinte_maize,S5,Nitrate,0.03307
Nitr_Res_With_IBM_For_GWAS,0.066663,-0.001585,0.011419,-0.01136,0.003278, 0.035747, 0.104161,CG_teosinte_maize,S11,Nitrate,0.068415
Nitr_Res_With_IBM_For_GWAS,0.022079,0.021472,0.009876,-0.001914,-0.005518, 0.051845, 0.097839,CG_teosinte_maize,S65,Nitrate,0.045995
Nitr_Res_With_IBM_For_GWAS,0.02299,0.039254,0.005079,-0.008888,-0.001345, 0.044039, 0.101128,CG_teosinte_maize,S51,Nitrate,0.05709
Nitr_Res_With_IBM_For_GWAS,0.019799,-0.004492,0.018733,-0.028172,-0.007496, 0.091374, 0.089746,CG_teosinte_maize,S80,Nitrate,-0.001628
Nitr_Res_With_IBM_For_GWAS,0.041219,0.005644,-0.000102,-0.009111,-0.000461, 0.064694, 0.101883,CG_teosinte_maize,S24,Nitrate,0.037189
Nitr_Res_With_IBM_For_GWAS,0.016836,0.038235,0.000699,0.020296,-0.003544, 0.025070, 0.097592,CG_teosinte_maize,S53,Nitrate,0.072522
Nitr_Res_With_IBM_For_GWAS,0.010509,0.030744,0.008379,-0.004915,-0.006388, 0.056800, 0.095129,CG_teosinte_maize,S4,Nitrate,0.038329
Nitr_Res_With_IBM_For_GWAS,0.027999,-0.006061,0.034992,-0.030654,-0.005036, 0.059011, 0.080251,CG_teosinte_maize,S26,Nitrate,0.02124
Nitr_Res_With_IBM_For_GWAS,0.013962,0.021146,0.012571,-0.024304,-0.002232, 0.077482, 0.098625,CG_teosinte_maize,S12,Nitrate,0.021143
Nitr_Res_With_IBM_For_GWAS,0.03016,-0.003158,0.007635,-0.020347,-0.000592, 0.084759, 0.098457,CG_teosinte_maize,S66,Nitrate,0.013698
Nitr_Res_With_IBM_For_GWAS,0.035065,0.017978,0.01528,-0.007775,-0.00047, 0.036914, 0.096993,CG_teosinte_maize,S28,Nitrate,0.060078
Nitr_Res_With_IBM_For_GWAS,0.0091,-0.021949,0.01625,-0.002771,-0.000841, 0.071164, 0.070954,CG_teosinte_maize,S81,Nitrate,-0.000210999999999999
Nitr_Res_With_IBM_For_GWAS,0.045199,-0.004535,-0.002262,-0.002182,0.000284, 0.054582, 0.091086,CG_teosinte_maize,S25,Nitrate,0.036504
Nitr_Res_With_IBM_For_GWAS,0.001456,0.02881,0.030221,0.015422,0.005712,0.023633,0.105253,CG_teosinte_maize,S54,Nitrate,0.081621
Nitr_Res_With_IBM_For_GWAS,0.036303,0.000216,0.029051,-0.012152,0.001726, 0.038107, 0.093250,CG_teosinte_maize,S40,Nitrate,0.055144
Nitr_Res_With_IBM_For_GWAS,0.045739,0.022356,0.021914,-0.015192,0.003741, 0.025856, 0.104414,CG_teosinte_maize,S27,Nitrate,0.078558
Nitr_Res_With_IBM_For_GWAS,0.037223,0.004665,-0.012843,-0.007322,-0.000642, 0.068170, 0.089251,CG_teosinte_maize,S13,Nitrate,0.021081
Nitr_Res_With_IBM_For_GWAS,0.04795,0.026099,-0.004574,0.015727,0.006093, 0.006171, 0.097466,CG_teosinte_maize,S67,Nitrate,0.091295
Nitr_Res_With_IBM_For_GWAS,0.026189,0.009867,0.022882,0.015738,-0.006092, 0.034793, 0.103377,CG_teosinte_maize,S29,Nitrate,0.068584
Nitr_Res_With_IBM_For_GWAS,0.021385,-0.027476,-0.012793,0.047501,-0.048649, 0.101460, 0.081428,CG_teosinte_maize,S82,Nitrate,-0.020032
Nitr_Res_With_IBM_For_GWAS,0.026239,0.018781,0.000562,0.01308,-0.007109, 0.037458, 0.089012,CG_teosinte_maize,S69,Nitrate,0.051553
Nitr_Res_With_IBM_For_GWAS,0.001042,0.000367,0.026185,-0.015758,0.007469, 0.078588, 0.097893,CG_teosinte_maize,S55,Nitrate,0.019305
