mn,sd,med,type,par,ne,context,ft
0.37064495079661,0.00171127343006715,0.370745075802681,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_50000_ft.RData,50000,CHG,Cgene
6.20771708138798,0.000789838854905357,6.20771204217153,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_50000_ft.RData,50000,CHG,Cgene
5.44302291627495,0.000950841727638924,5.44301602469721,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_50000_ft.RData,50000,CHG,Cgene
0.370669871557749,0.00160137884720629,0.370563745937232,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_5e+05_ft.RData,5e+05,CHG,Cgene
7.20770053570028,0.000768425794027609,7.20769639013063,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_5e+05_ft.RData,5e+05,CHG,Cgene
6.44299008246695,0.000916968179936061,6.44303849997519,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_5e+05_ft.RData,5e+05,CHG,Cgene
0.000152048893122012,0.00015552698969744,8.50164193947148e-05,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_1e+05_ft.RData,1e+05,CHG,Cthree
6.41884874692904,0.00133551776765679,6.41885406243641,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_1e+05_ft.RData,1e+05,CHG,Cthree
5.71776663879599,0.00172375349183268,5.71772529524036,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_1e+05_ft.RData,1e+05,CHG,Cthree
0.000154909744464849,0.000161130157141249,8.53862747462136e-05,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_1e+06_ft.RData,1e+06,CHG,Cthree
7.41875964719241,0.00127036300265944,7.41873542593469,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_1e+06_ft.RData,1e+06,CHG,Cthree
6.71773702535154,0.00163494599006881,6.71769348276639,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_1e+06_ft.RData,1e+06,CHG,Cthree
0.000152223683803596,0.000155352059480224,8.44689739457901e-05,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_50000_ft.RData,50000,CHG,Cthree
6.11777739610493,0.00124595484315885,6.11777494562412,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_50000_ft.RData,50000,CHG,Cthree
5.41669120877276,0.00173886891501015,5.41668470637527,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_50000_ft.RData,50000,CHG,Cthree
0.000156808235027499,0.000163832722363792,8.53699911460661e-05,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_5e+05_ft.RData,5e+05,CHG,Cthree
7.11777114430007,0.00124313068926582,7.11775019497124,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_5e+05_ft.RData,5e+05,CHG,Cthree
6.41668474662859,0.00169690713919355,6.41668239832859,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_three_5e+05_ft.RData,5e+05,CHG,Cthree
