Gen	Landrace	Maize	Teosinte	mea
Zm00001d000718	0	0.00223226547024052	0.00124007936507937	0.00115744827843996
Zm00001d000720	0.00256410256410257	0.00692223078587438	0.0025974025974026	0.00402791198245985
Zm00001d000721	0	0.019874733247709	0.0335853110398918	0.0178200147625336
Zm00001d000722	0.0833333333333335	0.00527210884353741	0	0.0295351473922903
Zm00001d000724	0	0.00724179677799169	0.709781832109568	0.239007876295853
Zm00001d000728	0	0.00208577137148566	0.00193452380952381	0.00134009839366982
Zm00001d000729	0.568849206349206	0.314890722703223	0.173488334582085	0.352409421211505
Zm00001d000730	0.0303571428571429	0.00601077666295057	0.00218315587104407	0.0128503584637125
Zm00001d000731	0.0170313170313171	0.00211066711066711	0.0559089345467054	0.0250169728962299
Zm00001d000733	0	0.00193713246681963	0.00316218304551576	0.00169977183744513
Zm00001d000736	0.112478354978355	0.24404902948524	0.224525407714532	0.193684264059376
Zm00001d000737	0.00192983983999567	0.00230062351789393	0.00488579461738299	0.0030387526584242
Zm00001d000739	0.113735590939673	0.0956364159234025	0.350387738623033	0.186586581828703
Zm00001d000740	0.0691125985887539	0.00352781839583708	0.00195761871839018	0.0248660119009937
Zm00001d000744	0	0.0094017094017094	0.00366471734892787	0.00435547558354576
Zm00001d000746	0.0222222222222222	0.00199590658774333	0.00201856943436735	0.00874556608144429
Zm00001d000747	0.638831064238535	0.375401798664569	0.383855417141951	0.466029426681685
Zm00001d000750	0.0125825281803543	0.00308125110582069	0.00232182940516274	0.00599520289711258
Zm00001d000751	0.219976551226551	0.317891495661684	0.655885655058449	0.397917900648895
Zm00001d000752	0.00435718128025821	0.00467597217597217	0.000788690476190476	0.00327394797747362
Zm00001d000753	0.0253968253968254	0.179699074074074	0.133928571428571	0.11300815696649
Zm00001d000755	0	0.00391191720737175	0.0479142822003353	0.017275399802569
Zm00001d000756	0.0111199036470775	0.000888067870826492	0	0.00400265717263466
Zm00001d000757	0	0.00112680288461538	0.00237016485027901	0.00116565591163146
Zm00001d000758	0.0416666666666667	0.11376240172686	0.00245098039215686	0.0526266829285612
Zm00001d000759	0	0	0.00222222222222222	0.00074074074074074
Zm00001d000760	0.00469256513289909	0.00147224564051933	0.00171383662551218	0.00262621579964353
Zm00001d000761	0.0313048245614035	0.0121091735844023	0.0306233807606484	0.0246791263021514
Zm00001d000762	0	0.00173060967329554	0	0.000576869891098513
Zm00001d000763	0.0763453395036279	0.136489409796425	0.0602284637325692	0.091021071010874
Zm00001d000765	0.00636390056721642	0.00262246492994808	0.000416666666666667	0.00313434405461039
Zm00001d000767	0.00302287581699347	0.0140199323791956	0.00795800776450929	0.00833360532023279
Zm00001d000768	0	0.00274508100595057	0	0.000915027001983523
Zm00001d000769	0.0852144944516268	0.167925682979756	0.110121423524001	0.121087200318461
Zm00001d000770	0.00104166666666667	0.0026060777563	0.00382815383816883	0.00249196608704517
Zm00001d000776	0.00287830330088612	0.00515621653612178	0.00108093267086465	0.00303848416929085
