Plant.ID,Plant.Name,Taxonomy,Origin,Material,Maintained.By,Availability
Ames 21830,I.B. 26,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21861,V.B. 4,Zea mays subsp. parviglumis,Mexico,Seed,NC7,Add to Cart
Ames 21889,BENZ 967,Zea mays subsp. parviglumis,Mexico Jalisco,Seed,NC7,Add to Cart
Ames 21894,Unknown #1,Zea mays subsp. parviglumis,Mexico,Seed,NC7,Add to Cart
PI 384062,B-K 4,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
PI 384063,B-K 7,Zea mays subsp. parviglumis,Mexico Mexico,Seed,NC7,Add to Cart
PI 384069,Wilkes 8,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
PI 566686,Maiz de Pajaro,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
PI 566688,Maiz de Huiscatote,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
PI 566691,Maiz de pajaro,Zea mays subsp. parviglumis,Mexico Michoacan,Seed,NC7,Add to Cart
NSL 2824,PALOMERO TOLUQUENO,Zea mays subsp. mays,Mexico,Seed,NC7,Add to Cart
NSL 2842,OLOTILLO,Zea mays subsp. mays,Mexico Federal District,Seed,NC7,Add to Cart
Ames 3940,Burro Mountain White Popcorn,Zea mays subsp. mays,United States New Mexico,Seed,NC7,Add to Cart
Ames 6081,Z08-009,Zea mays subsp. mays,Mexico Chihuahua,Seed,NC7,Add to Cart
Ames 24610,Coahuila 56,Zea mays subsp. mays,Mexico Coahuila,Seed,NC7,Add to Cart
PI 620767,Aguascalientes 16,Zea mays subsp. mays,Mexico Aguascalientes,Seed,NC7,Add to Cart
PI 620773,Baja California 10,Zea mays subsp. mays,Mexico Baja Sur,Seed,NC7,Add to Cart
PI 620774,Chiapas 70,Zea mays subsp. mays,Mexico Chiapas,Seed,NC7,Add to Cart
PI 620784,Colima 8,Zea mays subsp. mays,Mexico Colima,Seed,NC7,Add to Cart
PI 620785,Durango 29,Zea mays subsp. mays,Mexico Durango,Seed,NC7,Add to Cart
PI 620795,Guanajuato 79A,Zea mays subsp. mays,Mexico Guanajuato,Seed,NC7,Add to Cart
PI 620797,Guerrero 1,Zea mays subsp. mays,Mexico Guerrero,Seed,NC7,Add to Cart
PI 620819,Hidalgo 39,Zea mays subsp. mays,Mexico Hidalgo,Seed,NC7,Add to Cart
PI 620821,Jalisco 9,Zea mays subsp. mays,Mexico Jalisco,Seed,NC7,Add to Cart
PI 620828,Mexico 81,Zea mays subsp. mays,Mexico Mexico,Seed,NC7,Add to Cart
PI 620834,Michoacan 113,Zea mays subsp. mays,Mexico Michoacan,Seed,NC7,Add to Cart
PI 620837,Morelos 3,Zea mays subsp. mays,Mexico Morelos,Seed,NC7,Add to Cart
Ames 8235,Nayarit 35,Zea mays subsp. mays,Mexico Nayarit,Seed,NC7,Add to Cart
PI 620841,Nuevo Leon 68,Zea mays subsp. mays,Mexico Nuevo Leon,Seed,NC7,Add to Cart
PI 620842,Oaxaca 49,Zea mays subsp. mays,Mexico Oaxaca,Seed,NC7,Add to Cart
PI 620846,Puebla 19,Zea mays subsp. mays,Mexico Puebla,Seed,NC7,Add to Cart
PI 620851,Quintana Roo 104,Zea mays subsp. mays,Mexico Quintana Roo,Seed,NC7,Add to Cart
PI 620852,San Luis Potosi 56,Zea mays subsp. mays,Mexico San Luis Potosi,Seed,NC7,Add to Cart
PI 620856,Sinaloa 20,Zea mays subsp. mays,Mexico Sinaloa,Seed,NC7,Add to Cart
PI 620859,Sonora 153,Zea mays subsp. mays,Mexico Sonora,Seed,NC7,Add to Cart
PI 620860,Veracruz 273,Zea mays subsp. mays,Mexico Veracruz,Seed,NC7,Add to Cart
Ames 8260,Zacatecas 39A,Zea mays subsp. mays,Mexico Zacatecas,Seed,NC7,Add to Cart
PI 628485,Queretaro 36,Zea mays subsp. mays,Mexico Queretaro,Seed,NC7,Add to Cart
PI 628503,Tamaulipas 92,Zea mays subsp. mays,Mexico Tamaulipas,Seed,NC7,Add to Cart
PI 628507,Tlaxcala 273,Zea mays subsp. mays,Mexico Tlaxcala,Seed,NC7,Add to Cart
PI 628514,Yucatan 135,Zea mays subsp. mays,Mexico Yucatan,Seed,NC7,Add to Cart
PI 629124,Campeche 68A,Zea mays subsp. mays,Mexico Campeche,Seed,NC7,Add to Cart
PI 515469,Tabasco 8,Zea mays subsp. mays,Mexico Tabasco,Seed,NC7,Add to Cart
NSL 2825,TEHUA,Zea mays subsp. mays,Mexico,Seed,NC7,Add to Cart
NSL 2826,VANDENO,Zea mays subsp. mays,Mexico,Seed,NC7,Add to Cart
NSL 2827,REVENTADOR,Zea mays subsp. mays,Mexico,Seed,NC7,Add to Cart
NSL 2828,ZAPALOTE GRANDE,Zea mays subsp. mays,Mexico,Seed,NC7,Add to Cart
NSL 2829,OLOTON,Zea mays subsp. mays,Mexico,Seed,NC7,Add to Cart
NSL 2830,HARINOSO DE OCHO,Zea mays subsp. mays,Mexico,Seed,NC7,Add to Cart
