Genes (V3)	Genes (V4)	 Maize_EAR	 Teosinte_EAR	 Maize_LEAF	 Teosinte_LEAF	 Maize_STEM	 Teosinte_STEM
GRMZM2G099461	Zm00001d039581	1	3	NA	NA	1	0
GRMZM2G099463	Zm00001d006620	638	690	2573	2843	591	715
GRMZM2G099466	Zm00001d039580	917	719	656	485	946	991
GRMZM2G099467	Zm00001d029744	35	26	68	44	1344	596
GRMZM2G099474	Zm00001d013079	657	409	641	507	1021	859
GRMZM2G099481	Zm00001d038389	2745	3571	1866	2112	2361	2013
GRMZM2G099483	Zm00001d008905	3	5	59	10	97	33
GRMZM2G099487	Zm00001d006552	1582	1789	491	584	1252	1333
GRMZM2G099528	Zm00001d028375	867	911	1288	1284	1303	1512
GRMZM2G099529	Zm00001d039167	1880	1881	6506	6190	835	1205
GRMZM2G099542	Zm00001d031081	1113	1111	568	747	1454	1210
GRMZM2G099547	Zm00001d019426	2068	1986	822	1147	1211	1503
GRMZM2G099577	Zm00001d046053	10	24	14	13	13	6
GRMZM2G099583	Zm00001d048891	6067	5808	1365	1700	1970	1498
GRMZM2G099598	Zm00001d027523	722	848	817	557	1405	1243
GRMZM2G099604	Zm00001d013081	320	268	1761	1006	63	116
GRMZM2G099615	Zm00001d013082	79	43	42	50	91	66
GRMZM2G099619	Zm00001d035553	1	2	9	0	0	1
GRMZM2G099622	Zm00001d006619	2002	2021	693	1097	1756	1800
GRMZM2G099626	Zm00001d039169	0	5	13	8	12	27
GRMZM2G099628	Zm00001d028218	3274	3437	4035	3887	4167	3987
GRMZM2G099630	Zm00001d013083	3246	4209	1903	2317	2230	2320
GRMZM2G099648	Zm00001d045975	250	672	417	293	2784	2439
GRMZM2G099657	Zm00001d048253	1	0	0	1	NA	NA
GRMZM2G099666	Zm00001d048890	102	159	336	191	645	552
GRMZM2G099678	Zm00001d039301	NA	NA	0	1	1	49
GRMZM2G099696	Zm00001d025201	1444	1449	2487	2915	1480	1460
GRMZM2G099729	Zm00001d025819	72	122	693	676	39	63
GRMZM2G099740	Zm00001d045862	NA	NA	NA	NA	1	1
GRMZM2G099745	Zm00001d045784	854	811	1183	582	1918	1566
GRMZM2G099754	Zm00001d052376	994	587	347	362	547	403
GRMZM2G099758	Zm00001d014766	2047	2039	2019	2781	1227	1472
GRMZM2G099765	Zm00001d007464	NA	NA	NA	NA	NA	NA
GRMZM2G099767	Zm00001d028219	6	1	412	176	2585	2046
GRMZM2G099780	Zm00001d006108	2077	2213	1178	1080	1861	1546
GRMZM2G099797	Zm00001d028265	1597	1780	1292	1352	1859	2093
GRMZM2G099802	Zm00001d025818	NA	NA	NA	NA	NA	NA
GRMZM2G099810	Zm00001d014767	NA	NA	4	0	NA	NA
GRMZM2G099820	Zm00001d044320	515	928	240	483	215	494
GRMZM2G099860	Zm00001d028267	4857	4586	1044	821	4345	3557
GRMZM2G099862	Zm00001d007465	12167	6365	473	1400	511	699
GRMZM2G099875	Zm00001d042067	505	591	269	289	214	234
GRMZM2G099891	Zm00001d017171	1014	550	676	627	536	383
GRMZM2G099907	Zm00001d034020	14	8	128	75	8	6
GRMZM2G099909	Zm00001d030627	1263	1251	624	1002	999	1052
GRMZM2G099944	Zm00001d034022	289	166	1422	705	440	510
GRMZM2G099967	Zm00001d045774	4	12	323	185	104	58
GRMZM2G099981	Zm00001d010304	930	1190	1072	1262	122	133
GRMZM2G099984	Zm00001d008200	NA	NA	11	2	7	4
GRMZM2G099987	Zm00001d034878	1046	717	481	437	475	338
GRMZM2G099989	Zm00001d016956	34	8	49	17	28	20
GRMZM2G100020	Zm00001d034877	55	25	16	9	1	11
GRMZM2G100043	Zm00001d020357	1606	2038	3222	2982	768	1037
GRMZM2G100058	Zm00001d021294	102	80	55	26	42	39
GRMZM2G100076	Zm00001d048764	4	0	2	0	NA	NA
GRMZM2G100090	Zm00001d020358	12	12	4	1	18	9
GRMZM2G100103	Zm00001d045993	291	364	74	147	286	327
GRMZM2G100107	Zm00001d020129	1234	934	597	669	393	353
GRMZM2G100114	Zm00001d037188	9	0	7	9	4	2
GRMZM2G100118	Zm00001d048763	4692	4097	4130	3309	7106	6404
GRMZM2G100120	Zm00001d048252	6	6	16	0	8	11
GRMZM2G100121	Zm00001d030990	1299	1022	216	529	221	305
GRMZM2G100133	Zm00001d037814	19	3	0	1	NA	NA
GRMZM2G100146	Zm00001d011139	30269	24773	18253	29170	19647	18060
GRMZM2G100158	Zm00001d013862	NA	NA	40	0	48	19
GRMZM2G100225	Zm00001d050193	7967	8776	11844	15213	9692	10520
GRMZM2G100229	Zm00001d011138	14905	15126	7715	8103	7766	6553
GRMZM2G100234	Zm00001d053424	0	1	NA	NA	1	2
GRMZM2G100260	Zm00001d039620	972	697	984	826	975	783
GRMZM2G100286	Zm00001d025034	2117	1801	568	1150	772	734
GRMZM2G100288	Zm00001d029047	9841	9943	10177	7699	10880	8019
GRMZM2G100315	Zm00001d003275	124	169	50	53	75	84
GRMZM2G100318	Zm00001d012128	137	181	330	121	1382	1013
GRMZM2G100321	Zm00001d040936	18	36	17	36	30	35
GRMZM2G100333	Zm00001d005808	603	801	227	330	557	636
GRMZM2G100344	Zm00001d003276	1	11	161	76	9	1
GRMZM2G100349	Zm00001d039619	23	27	48	23	68	55
GRMZM2G100360	Zm00001d014016	27	23	6	11	119	176
