Genes (V3)	Genes (V4)	 Maize_EAR	 Teosinte_EAR	 Maize_LEAF	 Teosinte_LEAF	 Maize_STEM	 Teosinte_STEM
GRMZM2G039104	Zm00001d039728	0	5	NA	NA	NA	NA
GRMZM2G039106	Zm00001d000346	1796	1701	256	344	1410	1447
GRMZM2G039112	Zm00001d030862	2	0	4	2	1	6
GRMZM2G039113	Zm00001d038060	39	35	3	11	13	2
GRMZM2G039155	Zm00001d005675	2582	2098	2431	1953	2175	1684
GRMZM2G039166	Zm00001d043302	0	7	NA	NA	0	1
GRMZM2G039173	Zm00001d038465	10	2	17	10	69	22
GRMZM2G039186	Zm00001d030860	250	254	86	117	240	223
GRMZM2G039187	Zm00001d033280	55	426	117	196	47	48
GRMZM2G039212	Zm00001d048183	1	0	NA	NA	0	1
GRMZM2G039214	Zm00001d030601	875	802	874	774	936	892
GRMZM2G039238	Zm00001d030859	3890	2805	2628	3281	4486	5221
GRMZM2G039246	Zm00001d043505	0	2	0	8	4	8
GRMZM2G039251	Zm00001d006667	3738	2854	4994	4713	5465	5503
GRMZM2G039254	Zm00001d015114	1578	1017	1274	1385	1334	981
GRMZM2G039263	Zm00001d052056	7341	7271	3882	5808	5097	5586
GRMZM2G039278	Zm00001d034104	3	2	36	6	190	85
GRMZM2G039280	Zm00001d018939	959	990	816	885	739	738
GRMZM2G039312	Zm00001d029718	4	0	13	0	35	35
GRMZM2G039322	Zm00001d053538	9	0	14	18	3	0
GRMZM2G039325	Zm00001d044724	2598	2727	1297	1424	1143	1165
GRMZM2G039345	Zm00001d001995	186	281	597	437	93	93
GRMZM2G039362	Zm00001d035236	2	2	12	4	206	210
GRMZM2G039365	Zm00001d000222	420	315	1063	146	1009	313
GRMZM2G039373	Zm00001d033454	697	750	940	980	1038	960
GRMZM2G039385	Zm00001d038937	2117	1396	2204	1520	1477	1095
GRMZM2G039396	Zm00001d008203	1546	1607	11626	7525	772	975
GRMZM2G039419	Zm00001d038059	1356	1336	2209	1942	2120	1833
GRMZM2G039431	Zm00001d052835	12	0	6	1	327	413
GRMZM2G039445	Zm00001d051247	538	814	276	481	562	1126
GRMZM2G039454	Zm00001d039660	19593	20886	6743	7898	8385	10525
GRMZM2G039455	Zm00001d002650	22046	11931	7128	5570	10015	7812
GRMZM2G039477	Zm00001d001996	6	2	NA	NA	NA	NA
GRMZM2G039505	Zm00001d041912	743	1043	388	381	675	570
GRMZM2G039520	Zm00001d048772	1	0	13	8	2	2
GRMZM2G039525	Zm00001d005680	3	2	NA	NA	1	2
GRMZM2G039532	Zm00001d001997	273	200	199	112	178	122
GRMZM2G039536	Zm00001d025711	3	9	34	35	16	12
GRMZM2G039542	Zm00001d013966	1186	1200	636	857	1477	1898
GRMZM2G039577	Zm00001d030290	107	82	14	24	46	39
GRMZM2G039583	Zm00001d022250	129	139	284	166	90	89
GRMZM2G039586	Zm00001d046354	20	32	6432	4352	36	52
GRMZM2G039588	Zm00001d001999	3607	3214	4025	3989	7802	7447
GRMZM2G039592	Zm00001d034485	1491	1305	2317	1712	1205	834
GRMZM2G039600	Zm00001d025712	4803	3923	1909	2352	2570	2573
GRMZM2G039618	Zm00001d041913	104	50	28	42	42	27
GRMZM2G039622	Zm00001d006670	93	86	83	69	141	73
GRMZM2G039639	Zm00001d033455	18	0	11	1	278	89
GRMZM2G039650	Zm00001d042804	949	1396	553	697	841	946
GRMZM2G039671	Zm00001d024463	2887	4756	1520	3089	1791	2800
GRMZM2G039711	Zm00001d002953	1196	1133	3594	2553	618	584
GRMZM2G039746	Zm00001d019114	123	91	151	46	116	46
GRMZM2G039757	Zm00001d022277	NA	NA	2	0	3	2
GRMZM2G039792	Zm00001d018286	56	161	47	36	52	56
GRMZM2G039811	Zm00001d006328	1206	1130	3945	2476	3399	3222
GRMZM2G039824	Zm00001d024462	227	226	556	490	664	625
GRMZM2G039826	Zm00001d016044	1509	1728	1257	976	2242	1500
GRMZM2G039828	Zm00001d039658	1082	668	407	421	290	247
GRMZM2G039841	Zm00001d016826	50	245	1613	663	229	287
GRMZM2G039845	Zm00001d002952	NA	NA	2	1	7	0
GRMZM2G039848	Zm00001d053705	181	123	89	108	80	71
GRMZM2G039855	Zm00001d018009	554	400	79	160	194	109
GRMZM2G039857	Zm00001d024823	99	92	76	69	53	48
GRMZM2G039864	Zm00001d018284	2	2	0	2	22	12
GRMZM2G039867	Zm00001d042111	17	15	10	2	44	32
GRMZM2G039880	Zm00001d029730	1	1	1	0	3	0
GRMZM2G039886	Zm00001d039000	326	203	83	212	78	291
GRMZM2G039889	Zm00001d011355	1922	1553	785	793	1042	831
GRMZM2G039895	Zm00001d035008	1384	1211	478	587	359	308
GRMZM2G039900	Zm00001d005612	752	936	839	615	383	292
GRMZM2G039906	Zm00001d034351	1829	1062	1049	920	1829	1630
GRMZM2G039922	Zm00001d018789	316	340	134	182	173	179
GRMZM2G039930	Zm00001d016036	50	93	425	448	40	42
GRMZM2G039934	Zm00001d049588	197	229	114	137	209	200
GRMZM2G039954	Zm00001d022308	994	1002	325	550	579	669
GRMZM2G039978	Zm00001d034189	5	3	7	5	16	3
GRMZM2G039982	Zm00001d012656	541	356	699	646	429	491
GRMZM2G039983	Zm00001d048945	858	949	844	424	376	191
GRMZM2G039993	Zm00001d044762	0	17	36	3	833	123
GRMZM2G039996	Zm00001d001857	37	62	956	712	9	19
GRMZM2G040017	Zm00001d002022	1467	1522	1706	1057	1502	1560
GRMZM2G040030	Zm00001d034188	1645	1580	2546	2520	3191	2782
GRMZM2G040033	Zm00001d035007	13	31	25	36	230	321
GRMZM2G040039	Zm00001d007672	NA	NA	NA	NA	NA	NA
GRMZM2G040052	Zm00001d028248	NA	NA	NA	NA	NA	NA
GRMZM2G040069	Zm00001d040389	757	927	1082	1024	1171	785
GRMZM2G040078	Zm00001d024825	3077	3991	287	958	405	687
GRMZM2G040079	Zm00001d021145	3165	2979	1265	1484	1509	1357
GRMZM2G040094	Zm00001d053702	432	443	82	222	254	318
GRMZM2G040095	Zm00001d002000	245	429	564	654	651	263
GRMZM2G040102	Zm00001d039001	361	371	91	275	134	252
GRMZM2G040115	Zm00001d001858	4	15	1	9	40	29
GRMZM2G040121	Zm00001d028249	73	36	10	22	185	348
GRMZM2G040145	Zm00001d034350	2695	2824	1856	1677	2161	2122
GRMZM2G040158	Zm00001d027466	381	401	384	448	492	672
GRMZM2G040161	Zm00001d047971	59	52	66	19	26	26
GRMZM2G040182	Zm00001d014232	2883	3850	1031	1584	1634	1925
GRMZM2G040207	Zm00001d016602	5110	4545	2616	3493	4087	3363
GRMZM2G040209	Zm00001d007048	2231	1977	2269	2329	2334	2385
GRMZM2G040230	Zm00001d006757	3899	4184	1064	1472	308	334
GRMZM2G040247	Zm00001d001859	802	882	1009	1072	1136	1084
GRMZM2G040263	Zm00001d050355	NA	NA	NA	NA	NA	NA
GRMZM2G040296	Zm00001d035004	918	1429	1242	804	1608	1252
GRMZM2G040298	Zm00001d043569	1	2	NA	NA	10	9
GRMZM2G040300	Zm00001d001860	43	46	301	210	39	50
GRMZM2G040309	Zm00001d011839	272	423	43	57	330	312
GRMZM2G040320	Zm00001d053698	1992	1728	1404	1485	1714	1556
GRMZM2G040349	Zm00001d006835	1290	1039	664	537	675	703
GRMZM2G040359	Zm00001d026062	268	34	17	0	0	1
GRMZM2G040382	Zm00001d046602	2244	2665	2332	2413	2844	2609
GRMZM2G040387	Zm00001d032939	4483	5879	3003	2415	3624	2704
GRMZM2G040389	Zm00001d023692	2046	2093	459	907	380	705
GRMZM2G040397	Zm00001d002292	953	2946	794	1093	3326	3724
GRMZM2G040401	Zm00001d044470	829	828	525	602	1001	967
GRMZM2G040424	Zm00001d049881	938	1174	916	1310	1739	2092
GRMZM2G040441	Zm00001d029768	1001	1254	948	738	1173	762
GRMZM2G040452	Zm00001d053566	0	1	NA	NA	NA	NA
GRMZM2G040467	Zm00001d009787	373	401	505	442	314	339
GRMZM2G040477	Zm00001d009480	4443	5190	5261	8391	3666	5126
GRMZM2G040481	Zm00001d016924	0	1	NA	NA	NA	NA
GRMZM2G040493	Zm00001d002386	343	281	489	299	538	394
GRMZM2G040511	Zm00001d016926	576	1101	9635	6558	351	760
GRMZM2G040513	Zm00001d001861	166	201	1163	665	76	73
GRMZM2G040548	Zm00001d052244	68	43	14	16	2	4
GRMZM2G040559	Zm00001d053102	7	12	12	37	6	36
GRMZM2G040561	Zm00001d028256	1172	1154	964	1049	1088	1135
GRMZM2G040587	Zm00001d039780	437	307	475	587	411	439
GRMZM2G040613	Zm00001d053101	376	454	309	434	268	360
GRMZM2G040618	Zm00001d006834	708	766	1105	873	546	492
GRMZM2G040627	Zm00001d001864	1237	1132	364	479	290	232
GRMZM2G040642	Zm00001d011364	189	98	197	170	94	46
GRMZM2G040672	Zm00001d002385	164	144	97	131	42	70
GRMZM2G040689	Zm00001d046596	5995	1814	1124	546	6330	2050
GRMZM2G040702	Zm00001d037574	2904	3191	780	1218	797	1003
GRMZM2G040706	Zm00001d046063	1	0	0	2	NA	NA
GRMZM2G040720	Zm00001d053100	1360	1294	835	826	1537	1162
GRMZM2G040728	Zm00001d028258	NA	NA	0	1	4	0
GRMZM2G040736	Zm00001d001865	3	22	4	2	33	23
GRMZM2G040743	Zm00001d029758	2630	3484	982	1515	1691	2976
GRMZM2G040750	Zm00001d041634	103	114	881	780	137	164
GRMZM2G040762	Zm00001d027412	6893	6865	2445	2429	3329	3152
GRMZM2G040803	Zm00001d025916	179	540	305	175	648	602
GRMZM2G040828	Zm00001d028275	215	273	77	82	89	79
GRMZM2G040840	Zm00001d005735	1	4	NA	NA	2	0
GRMZM2G040843	Zm00001d050645	168	178	564	476	244	235
GRMZM2G040876	Zm00001d026607	2148	2096	1852	1839	2496	2484
GRMZM2G040878	Zm00001d002384	102	62	692	420	118	106
GRMZM2G040881	Zm00001d043360	39	8	8	2	20	0
GRMZM2G040887	Zm00001d027515	1545	1305	492	654	681	628
GRMZM2G040890	Zm00001d018335	202	179	262	159	134	127
GRMZM2G040902	Zm00001d025915	591	531	163	222	390	355
GRMZM2G040911	Zm00001d006082	6	2	0	2	52	71
GRMZM2G040920	Zm00001d002382	586	838	532	441	714	853
GRMZM2G040924	Zm00001d017385	144	187	0	1	1	0
GRMZM2G040933	Zm00001d005950	1041	1133	7708	4294	975	841
GRMZM2G040945	Zm00001d020549	2146	1944	360	941	635	1094
GRMZM2G040947	Zm00001d020448	57	78	71	90	42	60
GRMZM2G040954	Zm00001d029264	1001	1222	1056	846	776	871
GRMZM2G040964	Zm00001d016765	1025	1595	817	981	626	752
GRMZM2G040965	Zm00001d006132	1146	1134	45	149	90	140
GRMZM2G040968	Zm00001d023792	1279	1411	1841	2415	847	937
GRMZM2G040970	Zm00001d012708	838	1417	3627	3143	427	999
GRMZM2G040975	Zm00001d036025	202	70	120	65	126	62
GRMZM2G040991	Zm00001d000035	438	366	970	736	310	286
GRMZM2G040995	Zm00001d045590	2247	2019	1329	1596	1412	1215
GRMZM2G041015	Zm00001d044184	471	743	537	391	1734	2036
GRMZM2G041022	Zm00001d046743	0	1	29	19	153	127
GRMZM2G041050	Zm00001d030868	856	1105	2690	2671	2440	2954
GRMZM2G041060	Zm00001d053805	273	181	228	250	275	269
GRMZM2G041065	Zm00001d037576	7	0	NA	NA	24	1
GRMZM2G041125	Zm00001d000034	2253	2664	664	1572	740	749
GRMZM2G041127	Zm00001d005951	95	123	77	61	60	59
GRMZM2G041141	Zm00001d016764	8	11	3	0	12	14
GRMZM2G041159	Zm00001d053807	929	1042	12516	9084	556	692
GRMZM2G041175	Zm00001d020552	7	175	19	12	86	125
GRMZM2G041181	Zm00001d021805	1076	1116	1927	1448	2334	2136
GRMZM2G041223	Zm00001d002429	853	839	430	618	169	102
GRMZM2G041231	Zm00001d008298	448	448	296	381	376	354
GRMZM2G041235	Zm00001d049120	367	118	10	25	300	423
GRMZM2G041238	Zm00001d008594	5992	6870	5356	6851	4777	5822
GRMZM2G041258	Zm00001d037018	347	139	551	190	266	220
GRMZM2G041275	Zm00001d043834	6158	5877	5436	7033	7310	7711
GRMZM2G041308	Zm00001d008299	8	12	1	6	50	5
GRMZM2G041310	Zm00001d053808	1159	1182	249	572	447	299
GRMZM2G041312	Zm00001d003864	1315	915	864	694	1147	719
GRMZM2G041328	Zm00001d022469	2182	2225	955	1251	1306	1292
GRMZM2G041344	Zm00001d050840	17	23	2	5	12	9
GRMZM2G041350	Zm00001d024805	NA	NA	5	0	7	1
GRMZM2G041356	Zm00001d003434	15	39	2	4	71	231
GRMZM2G041381	Zm00001d021706	1202	1872	344	992	514	337
GRMZM2G041394	Zm00001d021393	653	1133	1016	852	988	1233
GRMZM2G041407	Zm00001d002430	5	0	NA	NA	NA	NA
GRMZM2G041415	Zm00001d041853	9	20	38	12	24	18
GRMZM2G041418	Zm00001d021804	11	2	51	284	14	27
GRMZM2G041454	Zm00001d024803	191	326	91	186	205	434
GRMZM2G041462	Zm00001d021268	23	56	54	29	155	194
GRMZM2G041463	Zm00001d038048	276	319	1803	1174	187	141
GRMZM2G041472	Zm00001d038896	4900	4695	3752	5223	4266	4560
GRMZM2G041493	Zm00001d004601	1	2	6	2	24	25
GRMZM2G041506	Zm00001d002669	829	719	995	481	157	206
GRMZM2G041513	Zm00001d025709	2	1	NA	NA	2	13
GRMZM2G041518	Zm00001d002282	700	875	613	439	392	336
GRMZM2G041527	Zm00001d022551	1831	1623	231	701	671	824
GRMZM2G041544	Zm00001d041873	0	16	1	10	56	41
GRMZM2G041549	Zm00001d007609	12	80	26	31	69	107
GRMZM2G041561	Zm00001d015566	831	696	315	417	483	497
GRMZM2G041613	Zm00001d030184	1269	1178	818	764	1191	1232
GRMZM2G041633	Zm00001d006030	1488	1940	1143	1597	1318	1522
GRMZM2G041636	Zm00001d022552	61	56	11	34	68	57
GRMZM2G041642	Zm00001d007610	556	707	316	570	532	722
GRMZM2G041694	Zm00001d038897	3	3	NA	NA	NA	NA
GRMZM2G041697	Zm00001d038570	3740	3592	1790	1739	2299	1981
GRMZM2G041699	Zm00001d052209	3	57	NA	NA	247	94
GRMZM2G041701	Zm00001d050664	383	419	227	292	237	155
GRMZM2G041714	Zm00001d036839	61	28	216	49	217	339
GRMZM2G041729	Zm00001d044389	166	80	57	30	319	276
GRMZM2G041732	Zm00001d046097	2238	1988	1220	1874	1133	1186
GRMZM2G041746	Zm00001d037029	8	0	NA	NA	76	58
GRMZM2G041761	Zm00001d017606	7	7	26	37	4	17
GRMZM2G041765	Zm00001d045596	9164	7170	1717	2987	3012	2612
GRMZM2G041770	Zm00001d033705	4479	3539	3882	2209	3526	2871
GRMZM2G041774	Zm00001d043740	1	5	1	1	1	0
GRMZM2G041797	Zm00001d031674	3162	3975	2090	2848	2470	2367
GRMZM2G041799	Zm00001d051838	1453	1364	944	769	1398	1299
GRMZM2G041818	Zm00001d033706	1077	655	452	409	422	464
GRMZM2G041822	Zm00001d036285	1609	1564	797	985	1160	1137
GRMZM2G041831	Zm00001d046509	1030	968	933	1129	1153	1218
GRMZM2G041847	Zm00001d042520	509	432	305	310	418	361
GRMZM2G041866	Zm00001d053156	2	14	529	733	424	701
GRMZM2G041876	Zm00001d003123	2766	2562	640	1147	1058	981
GRMZM2G041881	Zm00001d027318	7480	7754	9245	9579	6728	6536
GRMZM2G041885	Zm00001d049930	731	839	771	696	1056	970
GRMZM2G041930	Zm00001d042519	368	336	238	203	204	230
GRMZM2G041955	Zm00001d028697	205	244	96	104	85	90
GRMZM2G041959	Zm00001d052253	252	712	1297	1134	1066	973
GRMZM2G041980	Zm00001d016237	395	907	4514	2856	160	180
GRMZM2G041989	Zm00001d028691	761	754	569	444	551	722
GRMZM2G041991	Zm00001d017939	24	115	164	149	26	62
GRMZM2G041994	Zm00001d045540	791	587	745	547	796	689
GRMZM2G042006	Zm00001d020476	55	86	32	41	18	41
GRMZM2G042008	Zm00001d044390	879	1039	149	305	310	480
GRMZM2G042027	Zm00001d017937	380	414	1014	964	257	332
GRMZM2G042032	Zm00001d028695	1095	908	435	536	577	541
GRMZM2G042036	Zm00001d036836	40	50	46	34	43	59
GRMZM2G042040	Zm00001d033707	626	741	1482	1325	1981	1987
GRMZM2G042047	Zm00001d021707	920	1333	561	913	748	958
GRMZM2G042055	Zm00001d002175	3557	2731	3330	1065	4562	4762
GRMZM2G042061	Zm00001d014155	176	137	1369	1096	35	46
GRMZM2G042074	Zm00001d029120	2237	2056	2103	1850	2196	2047
GRMZM2G042078	Zm00001d044391	3135	2927	3695	4899	4365	5073
GRMZM2G042080	Zm00001d045538	579	568	4549	4218	146	206
GRMZM2G042084	Zm00001d045597	359	310	135	133	89	105
GRMZM2G042089	Zm00001d023943	4170	4795	4870	4944	5485	5674
GRMZM2G042099	Zm00001d043483	1151	1332	658	634	623	737
GRMZM2G042101	Zm00001d052254	0	4	24	25	1	3
GRMZM2G042107	Zm00001d028680	1	3	5	13	52	37
GRMZM2G042118	Zm00001d012052	8857	9110	5496	8837	5509	5894
GRMZM2G042127	Zm00001d045598	1	3	416	323	34	36
GRMZM2G042136	Zm00001d014157	0	6	3	8	4	7
GRMZM2G042146	Zm00001d037727	32	57	92	99	86	78
GRMZM2G042154	Zm00001d038179	6	6	13	12	7	7
GRMZM2G042171	Zm00001d028164	518	874	791	936	8011	8417
GRMZM2G042173	Zm00001d017303	2607	2313	829	837	1457	1193
GRMZM2G042179	Zm00001d052053	758	1688	827	480	526	459
GRMZM2G042181	Zm00001d051102	111	195	9072	2896	275	852
GRMZM2G042195	Zm00001d051627	1403	819	464	398	1322	1041
GRMZM2G042208	Zm00001d014272	145	178	161	214	218	224
GRMZM2G042245	Zm00001d015200	111	124	429	271	179	134
GRMZM2G042250	Zm00001d027317	6828	5089	2600	2987	5565	4569
GRMZM2G042253	Zm00001d028409	59	198	4659	2290	41	25
GRMZM2G042278	Zm00001d015201	142	506	5	96	79	187
GRMZM2G042295	Zm00001d042883	821	891	439	540	567	836
GRMZM2G042313	Zm00001d031120	2097	2371	2534	1241	8899	7547
GRMZM2G042323	Zm00001d045537	2176	2006	576	1164	1371	1663
GRMZM2G042343	Zm00001d007839	1380	1634	700	1184	623	937
GRMZM2G042347	Zm00001d022453	3	0	28	9	42	12
GRMZM2G042356	Zm00001d051628	311	414	504	499	861	737
GRMZM2G042364	Zm00001d043171	0	2	67	6	72	21
GRMZM2G042371	Zm00001d031291	5229	3762	3078	2609	3383	2817
GRMZM2G042380	Zm00001d051900	565	381	250	191	283	283
GRMZM2G042398	Zm00001d033708	947	887	577	644	962	810
GRMZM2G042407	Zm00001d032040	265	340	5	10	9	9
GRMZM2G042438	Zm00001d017935	95	21	19	9	54	0
GRMZM2G042442	Zm00001d049884	3915	3299	286	532	360	552
GRMZM2G042443	Zm00001d003378	8356	5589	1284	1648	1398	1333
GRMZM2G042477	Zm00001d037826	0	5	0	2	NA	NA
GRMZM2G042488	Zm00001d031292	318	77	257	196	405	307
GRMZM2G042492	Zm00001d043170	182	289	8195	5766	82	150
GRMZM2G042502	Zm00001d051629	8018	6992	7009	8977	6419	5893
GRMZM2G042539	Zm00001d027315	4	1	4	5	4	0
GRMZM2G042548	Zm00001d043485	891	43	266	13	640	34
GRMZM2G042552	Zm00001d027314	670	1353	406	495	848	1181
GRMZM2G042582	Zm00001d052215	1739	2163	2539	2257	2500	3148
GRMZM2G042592	Zm00001d010000	185	268	535	463	230	203
GRMZM2G042593	Zm00001d010918	1769	1716	373	559	295	226
GRMZM2G042598	Zm00001d032693	384	439	209	185	296	314
GRMZM2G042599	Zm00001d001987	43	24	19	39	31	30
GRMZM2G042602	Zm00001d053910	2	7	6	1	8	8
GRMZM2G042604	Zm00001d006235	6945	5970	5202	6296	4306	4771
GRMZM2G042607	Zm00001d037233	336	530	220	285	389	358
GRMZM2G042615	Zm00001d028994	2086	2768	1380	1515	1168	1176
GRMZM2G042627	Zm00001d019169	839	672	508	489	558	488
GRMZM2G042639	Zm00001d028693	1	1	NA	NA	108	33
GRMZM2G042660	Zm00001d006638	7	13	23	20	4	47
GRMZM2G042664	Zm00001d053911	511	393	1236	417	199	37
GRMZM2G042666	Zm00001d021403	3	7	52	100	17	19
GRMZM2G042683	Zm00001d029325	634	726	8735	5252	577	554
GRMZM2G042704	Zm00001d032692	1705	819	480	475	771	569
GRMZM2G042733	Zm00001d019170	2	0	NA	NA	NA	NA
GRMZM2G042741	Zm00001d006275	0	2	40	22	21	3
GRMZM2G042752	Zm00001d018998	21	13	12	6	9	2
GRMZM2G042754	Zm00001d043489	419	450	86	126	87	99
GRMZM2G042756	Zm00001d002618	26	47	0	2	88	11
GRMZM2G042782	Zm00001d025389	0	51	0	52	0	51
GRMZM2G042789	Zm00001d011079	NA	NA	3	0	44	14
GRMZM2G042797	Zm00001d038122	237	127	90	57	84	58
GRMZM2G042806	Zm00001d036903	1158	715	460	325	697	553
GRMZM2G042807	Zm00001d005303	1354	2006	980	1915	928	1197
GRMZM2G042818	Zm00001d043490	1151	1093	2025	1628	2215	1838
GRMZM2G042855	Zm00001d041136	1672	1462	864	605	756	541
GRMZM2G042865	Zm00001d010689	16	10	19	21	16	21
GRMZM2G042867	Zm00001d026318	63	135	44	74	5	50
GRMZM2G042870	Zm00001d046534	2700	2424	1273	1248	4259	4277
GRMZM2G042881	Zm00001d029567	1046	1223	1113	1263	1235	1172
GRMZM2G042893	Zm00001d004095	23	13	31	14	34	4
GRMZM2G042895	Zm00001d024522	1	150	76	4	257	30
GRMZM2G042897	Zm00001d004913	633	539	250	292	474	360
GRMZM2G042920	Zm00001d026317	0	2	NA	NA	1	1
GRMZM2G042933	Zm00001d001984	NA	NA	0	2	3	3
GRMZM2G042981	Zm00001d006797	513	518	315	365	484	415
GRMZM2G042992	Zm00001d024523	14088	15368	4442	7490	5190	7039
GRMZM2G043030	Zm00001d028619	1601	1677	756	888	1100	1070
GRMZM2G043035	Zm00001d038740	NA	NA	NA	NA	0	37
GRMZM2G043056	Zm00001d053610	9694	9513	4852	4774	5414	4910
GRMZM2G043069	Zm00001d010687	NA	NA	NA	NA	NA	NA
GRMZM2G043075	Zm00001d050457	26	18	25	63	107	133
GRMZM2G043095	Zm00001d042993	2	1	7	5	8	28
GRMZM2G043109	Zm00001d040463	9	10	131	51	10	20
GRMZM2G043117	Zm00001d011463	80	17	28	9	15	3
GRMZM2G043119	Zm00001d023259	468	508	436	357	499	576
GRMZM2G043127	Zm00001d033301	4	2	4	1	2	3
GRMZM2G043141	Zm00001d029566	84	97	42	42	108	90
GRMZM2G043147	Zm00001d014486	1796	1132	308	1169	1469	3046
GRMZM2G043150	Zm00001d023260	3335	2277	740	1277	1059	911
GRMZM2G043154	Zm00001d006795	NA	NA	3	3	0	1
GRMZM2G043162	Zm00001d049732	2	32	1433	2772	0	13
GRMZM2G043174	Zm00001d006794	285	187	186	267	184	259
GRMZM2G043182	Zm00001d014224	221	179	440	154	425	252
GRMZM2G043183	Zm00001d032644	150	90	72	65	52	85
GRMZM2G043191	Zm00001d033300	15	19	33	21	184	71
GRMZM2G043193	Zm00001d016771	0	3	0	4	7	11
GRMZM2G043198	Zm00001d031659	2018	1662	3453	4463	8901	9308
GRMZM2G043205	Zm00001d044706	7	5	7	1	NA	NA
GRMZM2G043226	Zm00001d004814	380	291	495	412	295	243
GRMZM2G043238	Zm00001d009270	1802	1605	697	930	907	1018
GRMZM2G043240	Zm00001d020399	816	861	1979	1156	2326	1681
GRMZM2G043250	Zm00001d016772	81	69	41	40	50	79
GRMZM2G043275	Zm00001d019180	21	65	0	17	0	1
GRMZM2G043279	Zm00001d016549	1336	1689	2144	3367	2096	2772
GRMZM2G043295	Zm00001d047504	96	17	67	40	51	16
GRMZM2G043310	Zm00001d036895	2605	3463	2257	1778	5475	4518
GRMZM2G043331	Zm00001d018545	1018	1173	735	965	774	689
GRMZM2G043338	Zm00001d047503	3421	2823	756	503	1570	827
GRMZM2G043346	Zm00001d029260	682	846	576	510	502	382
GRMZM2G043348	Zm00001d014664	98	77	15	24	41	52
GRMZM2G043350	Zm00001d037010	4385	4556	1285	1494	1209	1201
GRMZM2G043383	Zm00001d018694	9550	8339	6045	9290	8108	7106
GRMZM2G043414	Zm00001d051345	1317	1197	746	647	1102	1022
GRMZM2G043415	Zm00001d032100	NA	NA	NA	NA	3	1
GRMZM2G043435	Zm00001d038762	3990	7942	4670	3208	4003	3632
GRMZM2G043445	Zm00001d021193	29	11	4	11	24	25
GRMZM2G043453	Zm00001d013013	496	942	7174	6395	127	320
GRMZM2G043461	Zm00001d017222	2	0	NA	NA	NA	NA
GRMZM2G043470	Zm00001d028319	66	52	21	13	45	32
GRMZM2G043484	Zm00001d028890	676	789	290	417	1056	1055
GRMZM2G043489	Zm00001d006828	803	4108	10266	5514	2198	2340
GRMZM2G043493	Zm00001d029078	1126	430	374	388	110	172
GRMZM2G043498	Zm00001d012479	91	0	12	3	48	0
GRMZM2G043500	Zm00001d015085	183	130	1858	1525	77	79
GRMZM2G043501	Zm00001d005711	281	186	244	203	285	327
GRMZM2G043509	Zm00001d014187	873	808	310	591	436	579
GRMZM2G043575	Zm00001d050600	0	2	0	1	3	0
GRMZM2G043579	Zm00001d006825	160	116	61	111	74	93
GRMZM2G043584	Zm00001d028317	5048	2756	341	324	1587	1146
GRMZM2G043600	Zm00001d021191	6	1	4	3	25	13
GRMZM2G043602	Zm00001d016550	37	31	165	173	52	46
GRMZM2G043632	Zm00001d012476	26	13	337	180	119	84
GRMZM2G043663	Zm00001d041929	0	1	101	77	4	8
GRMZM2G043695	Zm00001d038763	0	3	NA	NA	NA	NA
GRMZM2G043724	Zm00001d047502	2880	2256	1730	1645	2215	1813
GRMZM2G043737	Zm00001d025413	1130	1122	1380	2381	1556	1754
GRMZM2G043749	Zm00001d024333	583	664	398	230	1309	1331
GRMZM2G043764	Zm00001d009520	3889	3942	2445	2876	3157	3288
GRMZM2G043776	Zm00001d026610	866	825	762	1068	1009	1390
GRMZM2G043782	Zm00001d008239	737	533	247	295	611	404
GRMZM2G043783	Zm00001d015148	2097	2108	687	918	979	704
GRMZM2G043792	Zm00001d051117	0	1	NA	NA	0	1
GRMZM2G043799	Zm00001d027676	177	275	268	131	648	515
GRMZM2G043813	Zm00001d025861	1	1	NA	NA	3	0
GRMZM2G043819	Zm00001d032160	2226	1329	1138	889	1589	879
GRMZM2G043843	Zm00001d044669	112	116	85	100	35	45
GRMZM2G043854	Zm00001d047878	7	0	3	0	6	0
GRMZM2G043857	Zm00001d028649	81	634	159	158	236	210
GRMZM2G043862	Zm00001d001914	1391	1637	2230	1541	1259	1223
GRMZM2G043887	Zm00001d025862	108	196	188	161	776	649
GRMZM2G043893	Zm00001d016551	30	14	7	10	113	108
GRMZM2G043903	Zm00001d026609	503	537	484	604	382	602
GRMZM2G043932	Zm00001d001915	1	0	3	0	4	6
GRMZM2G043943	Zm00001d038794	18	7	18	9	NA	NA
GRMZM2G043948	Zm00001d029077	1068	1122	1433	1304	444	527
GRMZM2G043955	Zm00001d047501	232	172	1295	760	366	282
GRMZM2G043980	Zm00001d047367	42	0	9	0	28	0
GRMZM2G043983	Zm00001d047566	1676	1012	676	637	600	506
GRMZM2G043992	Zm00001d001916	388	264	164	332	233	252
GRMZM2G043997	Zm00001d018514	793	774	597	633	800	588
GRMZM2G044004	Zm00001d044667	3871	4148	1139	1552	1393	1482
GRMZM2G044011	Zm00001d001983	1473	1280	1773	1738	2180	1872
GRMZM2G044023	Zm00001d022049	516	502	414	502	422	332
GRMZM2G044027	Zm00001d028653	1858	2533	17241	7887	17057	12337
GRMZM2G044038	Zm00001d029075	1646	1464	2064	1091	8064	7475
GRMZM2G044044	Zm00001d021609	5396	7269	3638	3645	4623	4470
